Gender,Age,Married,Dependents,Number of Dependents,Referred a Friend,Number of Referrals,Tenure in Months,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Paperless Billing,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,CLTV,Urban_Rural_Town,Urban_Rural_City,Offer_Offer A,Offer_Offer B,Offer_Offer C,Offer_Offer D,Offer_Offer E,Internet Type_DSL,Internet Type_Fiber Optic,Internet Type_No Internet,Contract_One Year,Contract_Two Year,Payment Method_Credit Card,Payment Method_Mailed Check,Churn
1,78,0,0,0,0,0.0,1,0,0.0,0,1,8,0,0,1,0,0,1,0,0,1,39.65,39.65,0.0,0,0.0,59.65,5433,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,74,1,1,0,1,1.0,8,1,48.85,1,1,17,0,1,0,0,0,0,0,1,1,80.65,633.3,0.0,0,390.8,1024.1,5302,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1
1,71,0,1,0,0,0.0,18,1,11.33,1,1,52,0,0,0,0,1,1,1,1,1,95.45,1752.55,0.0,0,203.94,1910.88,3179,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
0,78,1,1,0,1,1.0,25,1,19.76,0,1,12,0,1,1,0,1,1,0,1,1,98.5,2514.5,0.0,0,494.00000000000006,2995.07,5337,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
0,80,1,1,0,1,1.0,37,1,6.33,1,1,14,0,0,0,0,0,0,0,1,1,76.5,2868.15,0.0,0,234.21,3102.36,2793,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
0,72,0,1,0,0,0.0,27,1,3.33,1,1,18,0,0,1,0,0,0,0,0,1,78.05,2135.5,0.0,0,89.91,2235.41,4638,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
0,76,1,1,0,1,1.0,1,1,15.28,0,1,30,0,0,0,0,0,0,0,1,1,70.45,70.45,0.0,0,15.28,85.73,3964,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1
1,66,1,0,0,1,6.0,58,0,0.0,0,1,24,0,1,1,0,0,1,0,1,1,45.3,2651.2,0.0,0,0.0,2610.25,5444,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
0,70,0,1,0,0,0.0,15,1,44.07,1,1,19,0,0,0,0,0,0,0,1,1,74.45,1145.7,0.0,0,661.05,1806.75,5717,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
0,77,0,1,0,0,0.0,7,1,26.95,0,1,18,1,0,0,0,0,0,0,0,0,76.45,503.6,0.0,0,188.65,681.2,4419,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
0,78,0,1,0,0,0.0,11,1,11.59,0,1,29,0,1,0,0,1,1,0,0,1,95.0,1120.3,0.0,0,127.49,1367.79,5980,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
1,65,0,0,0,0,0.0,15,1,29.11,0,1,29,0,1,0,0,0,0,0,1,1,74.4,1074.3,0.0,0,436.65,1510.9499999999998,4616,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
1,77,1,0,0,1,1.0,1,0,0.0,0,1,12,0,1,0,0,1,0,0,1,0,40.2,40.2,0.0,0,0.0,40.2,5828,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
1,67,0,0,0,0,0.0,3,0,0.0,0,1,28,0,0,1,0,0,1,1,1,1,41.15,132.2,0.0,0,0.0,132.2,2314,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
1,68,0,0,0,0,0.0,13,1,32.68,1,1,11,0,1,1,0,1,1,0,0,1,106.9,1364.3,0.0,0,424.84,1799.14,2494,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0,68,0,0,0,0,0.0,16,1,9.43,0,1,9,0,0,0,1,1,1,1,1,1,94.45,1511.2,0.0,0,150.88,1662.08,3810,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
1,66,0,0,0,0,0.0,8,1,1.78,0,1,7,0,1,0,0,0,0,0,1,1,74.5,606.55,0.0,0,14.24,620.79,4345,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,69,0,0,0,0,0.0,24,1,30.87,1,1,15,0,0,0,0,0,0,0,1,1,76.1,1712.7,0.0,0,740.88,2453.58,2018,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
0,74,0,0,0,0,0.0,4,1,31.61,1,1,2,0,0,0,0,1,1,0,1,1,95.45,396.1,0.0,0,126.44,522.54,3677,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
1,76,1,0,0,1,2.0,32,1,47.34,1,1,10,0,0,0,0,0,0,0,1,1,74.9,2303.35,0.0,0,1514.88,3818.23,4105,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
1,77,1,0,0,1,1.0,24,1,16.1,0,1,12,0,0,1,0,1,1,1,1,1,93.15,2231.05,0.0,0,386.4,2617.4500000000003,2212,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,70,0,0,0,0,0.0,54,1,12.08,1,1,5,1,1,0,1,1,1,1,1,0,82.45,4350.1,0.0,0,652.32,5002.42,4149,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
0,74,0,0,0,0,0.0,2,1,13.17,0,1,10,0,0,0,0,0,0,0,1,1,70.35,139.05,0.0,0,26.34,165.39,2671,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
